(324.94, 186.6, 350.73, 'O')
(215.53, 164.74, 326.41, 'w')
(386.39, 223.84, 310.34, 'U')
(419.3, 67.77, 74.57, 'J')
(415.58, 138.05, 131.07, 'D')
(320.46, 9.5, 109.63, 'z')
(460.63, 264.65, 233.12, 'G')
(247.52, 220.02, 176.88, 'n')
(105.22, 48.33, 112.81, 'w')
(280.97, 349.73, 432.19, 'L')
(464.02, 393.45, 424.93, 'o')
(80.54, 237.41, 151.03, 'M')
(88.73, 143.97, 113.74, 'C')
(93.64, 47.15, 58.2, 't')
(38.74, 275.23, 212.3, 'r')
(16.95, 272.64, 332.2, 'd')
(358.52, 129.92, 319.16, 'S')
(38.21, 34.16, 300.41, 'l')
(361.07, 231.28, 477.32, 'P')
(381.17, 279.19, 270.07, 'k')
(473.7, 490.9, 48.57, 'e')
(140.11, 489.26, 284.28, 'z')
(402.82, 484.63, 334.31, 'u')
(36.68, 431.73, 125.99, 'D')
(389.16, 324.15, 355.43, 'z')
(153.61, 146.17, 134.6, 'T')
(312.68, 459.82, 190.49, 'w')
(236.93, 233.32, 133.38, 'A')
(76.6, 235.32, 417.71, 'G')
(177.05, 453.45, 340.0, 'f')
(406.2, 132.43, 202.35, 'H')
(181.62, 333.87, 300.29, 'z')
(180.96, 68.2, 107.99, 'V')
(318.97, 438.21, 493.5, 'v')
(13.82, 298.0, 492.46, 'm')
(102.76, 138.29, 96.57, 'e')
(328.44, 231.06, 229.55, 'f')
(163.7, 300.12, 363.17, 'W')
(163.1, 241.82, 487.89, 'A')
(408.37, 303.72, 108.23, 'G')
(1.13, 418.77, 187.15, 'X')
(30.91, 84.64, 174.73, 'y')
(44.57, 299.43, 374.19, 'l')
(0.43, 354.51, 301.82, 'z')
(356.6, 200.38, 379.83, 'A')
(360.6, 281.28, 119.82, 'x')
(472.97, 285.14, 440.2, 'S')
(195.33, 285.63, 367.03, 'n')
(68.78, 104.3, 297.51, 'u')
(45.83, 416.58, 89.18, 'T')
(333.8, 348.75, 119.74, 'p')
(358.88, 297.93, 354.56, 'Y')
(17.71, 220.49, 496.43, 'Q')
(190.56, 184.12, 453.49, 'S')
(325.32, 493.68, 29.44, 'T')
(92.96, 471.45, 158.44, 'I')
(147.55, 377.98, 290.42, 'o')
(208.61, 299.31, 167.94, 'S')
(282.1, 91.66, 82.89, 'I')
(366.12, 438.61, 187.08, 'V')
(325.89, 497.63, 82.19, 'z')
(59.64, 111.78, 225.58, 'B')
(163.02, 41.2, 267.99, 't')
(441.97, 306.33, 287.11, 'm')
(5.34, 78.23, 227.14, 'r')
(413.37, 498.62, 105.12, 'h')
(361.97, 213.21, 326.3, 'x')
(58.38, 394.46, 374.06, 'z')
(193.86, 12.98, 250.05, 'o')
(196.41, 186.61, 480.25, 'A')
(98.97, 325.95, 438.07, 'T')
(458.05, 103.78, 87.86, 't')
(236.08, 67.82, 72.04, 'm')
(109.53, 401.67, 131.41, 'y')
(381.31, 294.58, 360.78, 'p')
(317.87, 199.73, 172.71, 'g')
(79.92, 378.07, 396.28, 'L')
(139.49, 199.95, 58.29, 'N')
(388.42, 250.14, 299.48, 'M')
(175.67, 363.14, 448.38, 'O')
(353.46, 401.21, 257.63, 'v')
(404.5, 314.01, 261.44, 'S')
(65.69, 125.51, 185.95, 'J')
(40.93, 193.74, 12.67, 'Y')
(36.41, 417.11, 336.6, 'y')
(182.02, 129.76, 349.96, 'A')
(108.35, 188.2, 90.71, 'l')
(179.08, 476.88, 336.0, 'o')
(470.13, 297.05, 402.68, 'Q')
(212.26, 227.18, 492.59, 'v')
(248.87, 308.27, 234.87, 'P')
(406.38, 52.89, 178.63, 'C')
(104.6, 55.72, 265.53, 'g')
(304.68, 36.0, 462.52, 'X')
(45.91, 487.92, 385.9, 'T')
(29.04, 244.76, 32.53, 'd')
(410.23, 426.01, 486.09, 'F')
(194.99, 455.25, 269.69, 'A')
(98.2, 47.53, 208.15, 'K')
(5.52, 444.79, 492.42, 'B')
(16.42, 87.41, 40.62, 'R')
(282.85, 460.2, 200.94, 'I')
(7.7, 97.67, 263.42, 'k')
(14.97, 38.49, 114.78, 'v')
(240.28, 209.65, 236.1, 'n')
(166.76, 195.74, 422.32, 'a')
(167.52, 139.0, 283.48, 'L')
(418.35, 444.81, 285.31, 's')
(312.68, 311.06, 240.88, 'P')
(176.26, 165.01, 119.34, 'e')
(73.94, 269.88, 365.61, 'R')
(103.17, 160.34, 12.75, 'N')
(498.83, 274.74, 447.35, 'R')
(477.51, 369.94, 247.6, 'h')
(427.44, 283.81, 495.68, 'Z')
(440.45, 346.47, 93.6, 'R')
(269.44, 303.09, 170.81, 'x')
(115.47, 117.01, 422.63, 'O')
(230.45, 403.3, 64.32, 'N')
(323.96, 419.34, 451.91, 'T')
(379.81, 406.81, 194.78, 'D')
(56.27, 88.94, 300.58, 'S')
(202.49, 165.66, 494.27, 'p')
(1.46, 374.32, 372.97, 'm')
(385.81, 178.86, 433.98, 'n')
(447.31, 79.59, 111.36, 'o')
(62.24, 50.55, 497.74, 'W')
(269.71, 65.74, 470.59, 'x')
(435.34, 466.08, 37.51, 'i')
(166.57, 142.64, 407.78, 'q')
(139.39, 168.88, 113.7, 'Z')
(245.14, 0.03, 266.09, 'h')
(263.41, 182.75, 7.63, 'I')
(181.28, 11.11, 287.12, 'i')
(36.71, 374.45, 357.65, 'r')
(95.77, 295.17, 75.01, 'i')
(497.03, 282.37, 479.65, 'U')
(38.08, 8.44, 176.13, 'R')
(433.51, 48.02, 313.81, 'W')
(478.05, 272.49, 13.57, 'q')
(48.79, 140.4, 234.99, 'd')
(323.6, 451.96, 141.56, 'f')
(178.97, 204.37, 223.96, 't')
(61.44, 149.07, 378.65, 'u')
(288.76, 69.37, 450.77, 'P')
(3.26, 218.68, 95.51, 'J')
(332.33, 498.45, 210.9, 'T')
(181.61, 134.53, 412.0, 'e')
(267.41, 414.19, 440.62, 'U')
(231.62, 273.1, 222.28, 'g')
(365.99, 80.4, 157.48, 'J')
(180.03, 301.08, 267.45, 'b')
(255.1, 353.18, 219.76, 'N')
(59.04, 271.15, 459.67, 'Z')
(149.39, 211.82, 151.74, 'F')
(274.8, 5.9, 383.2, 'W')
(335.08, 254.01, 260.33, 'k')
(252.8, 57.21, 409.78, 'u')
(443.59, 389.6, 221.63, 'u')
(452.93, 471.62, 92.81, 'H')
(31.1, 382.21, 405.3, 'J')
(301.46, 116.17, 57.77, 't')
(140.11, 174.7, 181.5, 'i')
(306.32, 83.45, 210.99, 'A')
(17.53, 414.55, 264.82, 'C')
(222.82, 45.18, 370.76, 'G')
(184.53, 82.24, 308.71, 'k')
(232.88, 7.12, 467.93, 'k')
(310.89, 68.25, 295.4, 'q')
(135.21, 365.52, 296.82, 'g')
(160.91, 458.17, 397.52, 'Y')
(26.33, 35.66, 416.02, 'A')
(322.04, 421.29, 99.68, 'Z')
(204.82, 493.99, 390.81, 'b')
(247.18, 253.27, 349.4, 'N')
(303.64, 102.82, 121.43, 'R')
(231.65, 271.03, 181.78, 'B')
(155.11, 498.13, 141.27, 'U')
(442.76, 310.52, 317.18, 'V')
(208.9, 328.85, 30.48, 'Q')
(99.83, 15.29, 482.8, 'j')
(332.36, 205.98, 294.19, 'm')
(292.44, 32.23, 140.07, 'S')
(315.41, 196.23, 23.13, 'F')
(154.04, 120.56, 98.92, 'Y')
(179.32, 377.94, 434.07, 'y')
(148.93, 474.21, 187.59, 'M')
(409.36, 293.8, 93.44, 'D')
(172.28, 95.81, 133.98, 'q')
(231.55, 247.97, 2.16, 'R')
(378.7, 256.89, 249.55, 'y')
(363.32, 81.9, 199.61, 't')
(260.09, 368.86, 448.17, 'U')
(113.74, 102.77, 277.95, 'z')
